Y;X;Gray
240;0;84
240;1;84
240;2;84
240;3;84
240;4;84
240;5;84
240;6;84
240;7;84
240;8;84
240;9;84
240;10;84
240;11;84
240;12;84
240;13;84
240;14;84
240;15;84
240;16;84
240;17;84
240;18;84
240;19;83
240;20;83
240;21;83
240;22;83
240;23;83
240;24;83
240;25;83
240;26;83
240;27;83
240;28;83
240;29;83
240;30;83
240;31;83
240;32;83
240;33;83
240;34;83
240;35;83
240;36;84
240;37;84
240;38;84
240;39;84
240;40;84
240;41;85
240;42;85
240;43;86
240;44;87
240;45;88
240;46;90
240;47;93
240;48;97
240;49;101
240;50;105
240;51;110
240;52;115
240;53;118
240;54;120
240;55;121
240;56;120
240;57;118
240;58;116
240;59;113
240;60;111
240;61;109
240;62;109
240;63;109
240;64;109
240;65;109
240;66;109
240;67;108
240;68;108
240;69;106
240;70;105
240;71;103
240;72;100
240;73;97
240;74;93
240;75;89
240;76;84
240;77;78
240;78;72
240;79;66
240;80;61
240;81;58
240;82;56
240;83;55
240;84;54
240;85;54
240;86;54
240;87;54
240;88;54
240;89;54
240;90;54
240;91;54
240;92;54
240;93;55
240;94;55
240;95;55
240;96;56
240;97;56
240;98;56
240;99;55
240;100;55
240;101;55
240;102;54
240;103;54
240;104;53
240;105;53
240;106;53
240;107;52
240;108;52
240;109;52
240;110;52
240;111;52
240;112;52
240;113;53
240;114;53
240;115;54
240;116;54
240;117;55
240;118;56
240;119;58
240;120;61
240;121;64
240;122;68
240;123;72
240;124;76
240;125;79
240;126;81
240;127;81
240;128;80
240;129;77
240;130;74
240;131;69
240;132;65
240;133;60
240;134;57
240;135;55
240;136;54
240;137;53
240;138;53
240;139;53
240;140;53
240;141;53
240;142;53
240;143;53
240;144;53
240;145;53
240;146;53
240;147;52
240;148;52
240;149;53
240;150;53
240;151;53
240;152;53
240;153;53
240;154;53
240;155;53
240;156;53
240;157;53
240;158;53
240;159;53
240;160;53
240;161;54
240;162;55
240;163;56
240;164;58
240;165;61
240;166;64
240;167;68
240;168;72
240;169;76
240;170;79
