Y;X;Gray;Y;X;Blur
240;0;86;240;0;85
240;1;85;240;1;85
240;2;85;240;2;85
240;3;84;240;3;85
240;4;85;240;4;85
240;5;84;240;5;84
240;6;84;240;6;84
240;7;84;240;7;84
240;8;84;240;8;84
240;9;85;240;9;84
240;10;85;240;10;84
240;11;85;240;11;84
240;12;85;240;12;85
240;13;85;240;13;85
240;14;85;240;14;85
240;15;85;240;15;85
240;16;86;240;16;84
240;17;84;240;17;84
240;18;85;240;18;84
240;19;85;240;19;84
240;20;84;240;20;84
240;21;84;240;21;84
240;22;84;240;22;83
240;23;83;240;23;83
240;24;82;240;24;83
240;25;82;240;25;83
240;26;83;240;26;83
240;27;83;240;27;83
240;28;83;240;28;83
240;29;84;240;29;83
240;30;83;240;30;83
240;31;83;240;31;83
240;32;83;240;32;83
240;33;84;240;33;84
240;34;85;240;34;84
240;35;85;240;35;84
240;36;85;240;36;84
240;37;83;240;37;84
240;38;85;240;38;84
240;39;84;240;39;84
240;40;84;240;40;85
240;41;84;240;41;85
240;42;85;240;42;86
240;43;85;240;43;86
240;44;86;240;44;87
240;45;88;240;45;89
240;46;88;240;46;91
240;47;90;240;47;94
240;48;94;240;48;97
240;49;96;240;49;101
240;50;97;240;50;106
240;51;116;240;51;111
240;52;124;240;52;115
240;53;129;240;53;119
240;54;129;240;54;121
240;55;128;240;55;121
240;56;124;240;56;121
240;57;123;240;57;119
240;58;120;240;58;116
240;59;114;240;59;114
240;60;104;240;60;111
240;61;93;240;61;110
240;62;102;240;62;109
240;63;114;240;63;109
240;64;118;240;64;109
240;65;114;240;65;109
240;66;104;240;66;109
240;67;95;240;67;109
240;68;110;240;68;108
240;69;113;240;69;107
240;70;109;240;70;105
240;71;99;240;71;103
240;72;97;240;72;100
240;73;96;240;73;97
240;74;97;240;74;94
240;75;93;240;75;89
240;76;90;240;76;84
240;77;101;240;77;78
240;78;57;240;78;72
240;79;48;240;79;66
240;80;53;240;80;62
240;81;53;240;81;59
240;82;53;240;82;57
240;83;53;240;83;55
240;84;55;240;84;55
240;85;55;240;85;55
240;86;56;240;86;54
240;87;56;240;87;54
240;88;54;240;88;54
240;89;55;240;89;54
240;90;55;240;90;54
240;91;57;240;91;55
240;92;58;240;92;55
240;93;57;240;93;55
240;94;56;240;94;56
240;95;57;240;95;56
240;96;56;240;96;56
240;97;57;240;97;56
240;98;56;240;98;56
240;99;58;240;99;56
240;100;57;240;100;56
240;101;56;240;101;55
240;102;54;240;102;55
240;103;54;240;103;54
240;104;52;240;104;54
240;105;51;240;105;53
240;106;51;240;106;53
240;107;50;240;107;53
240;108;48;240;108;53
240;109;47;240;109;52
240;110;49;240;110;52
240;111;49;240;111;53
240;112;49;240;112;53
240;113;51;240;113;53
240;114;52;240;114;53
240;115;52;240;115;54
240;116;48;240;116;55
240;117;52;240;117;55
240;118;52;240;118;57
240;119;53;240;119;58
240;120;55;240;120;61
240;121;54;240;121;65
240;122;66;240;122;69
240;123;78;240;123;73
240;124;80;240;124;76
240;125;83;240;125;79
240;126;83;240;126;81
240;127;82;240;127;81
240;128;83;240;128;80
240;129;82;240;129;78
240;130;81;240;130;74
240;131;71;240;131;70
240;132;43;240;132;65
240;133;42;240;133;61
240;134;49;240;134;58
240;135;49;240;135;55
240;136;49;240;136;54
240;137;48;240;137;53
240;138;49;240;138;53
240;139;50;240;139;53
240;140;54;240;140;54
240;141;55;240;141;54
240;142;54;240;142;54
240;143;52;240;143;54
240;144;51;240;144;53
240;145;50;240;145;53
240;146;49;240;146;53
240;147;47;240;147;53
240;148;48;240;148;53
240;149;49;240;149;53
240;150;48;240;150;53
240;151;50;240;151;54
240;152;49;240;152;54
240;153;49;240;153;54
240;154;50;240;154;54
240;155;50;240;155;54
240;156;51;240;156;53
240;157;50;240;157;53
240;158;49;240;158;53
240;159;48;240;159;53
240;160;47;240;160;54
240;161;46;240;161;54
240;162;47;240;162;55
240;163;47;240;163;57
240;164;52;240;164;59
240;165;57;240;165;61
240;166;59;240;166;64
240;167;67;240;167;68
240;168;73;240;168;72
240;169;76;240;169;76
240;170;85;240;170;80
240;171;87;240;171;82
240;172;87;240;172;84
240;173;86;240;173;85
240;174;83;240;174;84
240;175;83;240;175;82
